track_id,est_bpm,brightness,energy_rms,percussiveness
244850395,123.05,1148.15,0.26422,0.03696
213145650,123.05,2088.17,0.27875,0.07554
132028070,123.05,1762.52,0.30446,0.05608
102869915,117.45,910.84,0.21666,0.02345
154241842,123.05,1984.71,0.26407,0.06716
96031668,123.05,1616.79,0.22451,0.05695
98247072,123.05,1165.7,0.19003,0.03778
33129556,123.05,3541.98,0.15419,0.18381
180414774,117.45,2197.03,0.29784,0.05025
152954501,129.2,3053.67,0.26902,0.14591
112604607,129.2,2545.67,0.28144,0.101
30541062,129.2,3289.85,0.28573,0.15743
81745020,129.2,2624.31,0.27815,0.12107
135983275,129.2,1412.69,0.23377,0.05118
120472834,112.35,2250.01,0.25354,0.09702
81720849,136.0,2145.21,0.25953,0.0676
102652167,123.05,2223.2,0.33893,0.08268
14734245,123.05,2743.19,0.27629,0.11812
71914882,123.05,2344.23,0.31002,0.0912
257156020,129.2,2455.2,0.14,0.1267
81101642,123.05,2755.95,0.23416,0.11589
217355501,123.05,1902.22,0.17991,0.06728
38985918,117.45,1155.89,0.24326,0.02921
